server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,21:13:40,21:14:10,39.34,52.63,""
server_1,21:13:50,21:14:20,44.1,69.03,""
server_1,21:14:00,21:14:30,39.15,64.48,""
server_1,21:14:10,21:14:40,44.97,57.09,""
server_1,21:14:20,21:14:50,45.63,41.36,""
server_1,21:14:30,21:15:00,55.35,42.74,""
server_1,21:14:40,21:15:10,58.11,51.53,""
server_1,21:14:50,21:15:20,51.21,56.93,""
server_1,21:15:00,21:15:30,49.46,62.27,""
server_1,21:15:10,21:15:40,61.57,59.25,""
server_1,21:15:20,21:15:50,62.01,49.02,""
server_1,21:15:30,21:16:00,57.59,47.1,""
server_1,21:15:40,21:16:10,43.58,43.43,""
server_1,21:15:50,21:16:20,53.2,53.05,""
server_1,21:16:00,21:16:30,63.84,54.19,""
server_1,21:16:10,21:16:40,62.01,50.75,""
server_1,21:16:20,21:16:50,50.75,45.51,""
server_1,21:16:30,21:17:00,44.33,49.1,""
server_1,21:16:40,21:17:10,47.39,56.59,""
server_1,21:16:50,21:17:20,64.43,67.17,""
server_1,21:17:00,21:17:30,58.92,62.26,""
server_1,21:17:10,21:17:40,51.56,65.38,""
server_1,21:17:20,21:17:50,37.91,51.27,""
server_1,21:17:30,21:18:00,33.49,44.1,""
server_1,21:17:40,21:18:10,39.8,50.78,""
server_1,21:17:50,21:18:20,51.32,66.01,""
server_1,21:18:00,21:18:30,64.07,78.57,Memory saturation suspected
server_1,21:18:10,21:18:40,79.2,63.27,""
server_1,21:18:20,21:18:50,78.07,62.38,""
server_1,21:18:30,21:19:00,60.91,52.19,""
server_1,21:18:40,21:19:10,42.34,46.93,""
server_1,21:18:50,21:19:20,46.38,46.72,""
server_1,21:19:00,21:19:30,46.83,55.38,""
server_1,21:19:10,21:19:40,63.48,70.63,""
server_1,21:19:20,21:19:50,58.87,74.03,""
server_1,21:19:30,21:20:00,58.03,76.48,""
server_1,21:19:40,21:20:10,54.28,68.31,""
server_1,21:19:50,21:20:20,45.23,51.72,""
server_1,21:20:00,21:20:30,49.41,38.03,""
server_1,21:20:10,21:20:40,41.33,39.43,""
server_1,21:20:20,21:20:50,39.38,52.16,""
server_1,21:20:30,21:21:00,36.48,55.91,""
server_1,21:20:40,21:21:10,40.39,48.67,""
server_1,21:20:50,21:21:20,41.27,49.41,""
server_1,21:21:00,21:21:30,42.11,49.8,""
server_1,21:21:10,21:21:40,41.38,49.77,""
server_1,21:21:20,21:21:50,35.18,43.98,""
server_1,21:21:30,21:22:00,49.41,52.85,""
server_1,21:21:40,21:22:10,42.1,56.38,""
server_1,21:21:50,21:22:20,57.13,52.12,""
server_1,21:22:00,21:22:30,42.0,51.96,""
server_1,21:22:10,21:22:40,49.25,44.82,""
server_1,21:22:20,21:22:50,38.78,54.14,""
server_1,21:22:30,21:23:00,40.03,40.95,""
server_1,21:22:40,21:23:10,46.58,56.29,""
server_1,21:22:50,21:23:20,50.38,53.69,""
server_1,21:23:00,21:23:30,65.65,67.93,""
server_1,21:23:10,21:23:40,67.17,56.59,""
server_1,21:23:20,21:23:50,64.29,45.45,""
server_1,21:23:30,21:24:00,61.07,44.51,""
server_1,21:23:40,21:24:10,61.32,43.27,""
server_1,21:23:50,21:24:20,65.79,62.32,""
server_1,21:24:00,21:24:30,61.2,59.24,""
server_1,21:24:10,21:24:40,62.57,66.23,""
server_1,21:24:20,21:24:50,58.92,63.86,""
server_1,21:24:30,21:25:00,61.89,64.17,""
server_1,21:24:40,21:25:10,53.33,70.68,""
server_1,21:24:50,21:25:20,63.2,63.9,""
server_1,21:25:00,21:25:30,55.44,60.41,""
server_1,21:25:10,21:25:40,57.07,57.68,""
server_1,21:25:20,21:25:50,58.49,46.28,""
server_1,21:25:30,21:26:00,54.3,49.86,""
server_1,21:25:40,21:26:10,48.77,42.65,""
server_1,21:25:50,21:26:20,54.09,60.09,""
server_1,21:26:00,21:26:30,55.9,52.31,""
server_1,21:26:10,21:26:40,57.09,55.55,""
server_1,21:26:20,21:26:50,42.77,53.41,""
server_1,21:26:30,21:27:00,49.05,60.76,""
server_1,21:26:40,21:27:10,54.31,57.64,""
server_1,21:26:50,21:27:20,53.97,57.79,""
server_1,21:27:00,21:27:30,54.0,56.97,""
server_1,21:27:10,21:27:40,51.03,75.24,""
server_1,21:27:20,21:27:50,49.94,64.93,""
server_1,21:27:30,21:28:00,55.0,58.0,""
server_1,21:27:40,21:28:10,58.34,43.43,""
server_1,21:27:50,21:28:20,67.9,52.02,""
server_1,21:28:00,21:28:30,51.28,59.96,""
server_1,21:28:10,21:28:40,37.56,54.88,""
server_1,21:28:20,21:28:50,41.51,42.85,""
server_1,21:28:30,21:29:00,52.96,37.91,""
server_1,21:28:40,21:29:10,68.49,40.33,""
server_1,21:28:50,21:29:20,57.06,41.06,""
server_1,21:29:00,21:29:30,58.78,50.43,""
server_1,21:29:10,21:29:40,47.99,46.95,""
server_1,21:29:20,21:29:50,52.75,54.07,""
server_1,21:29:30,21:30:00,53.2,43.16,""
server_1,21:29:40,21:30:10,61.57,45.3,""
server_1,21:29:50,21:30:20,59.78,44.43,""
server_1,21:30:00,21:30:30,49.54,45.05,""
server_1,21:30:10,21:30:40,44.97,48.96,""
server_1,21:30:20,21:30:50,36.63,40.37,""
server_1,21:30:30,21:31:00,40.38,37.14,""
server_1,21:30:40,21:31:10,27.7,52.07,""
server_1,21:30:50,21:31:20,39.25,63.17,""
server_1,21:31:00,21:31:30,39.72,67.45,""
server_1,21:31:10,21:31:40,56.54,45.86,""
server_1,21:31:20,21:31:50,46.19,39.06,""
server_1,21:31:30,21:32:00,37.0,43.23,""
server_1,21:31:40,21:32:10,24.83,41.89,""
server_1,21:31:50,21:32:20,32.52,49.7,""
server_1,21:32:00,21:32:30,50.14,54.36,""
server_1,21:32:10,21:32:40,55.15,59.13,""
server_1,21:32:20,21:32:50,61.79,46.12,""
server_1,21:32:30,21:33:00,54.48,37.02,""
server_1,21:32:40,21:33:10,49.65,37.69,""
server_1,21:32:50,21:33:20,33.36,50.91,""
server_1,21:33:00,21:33:30,39.67,46.61,""
server_1,21:33:10,21:33:40,40.39,44.53,""
server_1,21:33:20,21:33:50,56.97,46.0,""
server_1,21:33:30,21:34:00,46.64,46.06,""
server_1,21:33:40,21:34:10,58.68,51.06,""
server_1,21:33:50,21:34:20,49.78,45.91,""
server_1,21:34:00,21:34:30,55.11,51.83,""
server_1,21:34:10,21:34:40,50.49,52.89,""
server_1,21:34:20,21:34:50,57.87,57.11,""
server_1,21:34:30,21:35:00,53.65,52.92,""
server_1,21:34:40,21:35:10,44.15,57.47,""
server_1,21:34:50,21:35:20,45.02,47.31,""
server_1,21:35:00,21:35:30,62.35,51.37,""
server_1,21:35:10,21:35:40,68.83,40.15,""
server_1,21:35:20,21:35:50,56.46,37.64,""
server_1,21:35:30,21:36:00,38.84,47.63,""
server_1,21:35:40,21:36:10,35.82,49.92,""
server_1,21:35:50,21:36:20,43.57,62.14,""
server_1,21:36:00,21:36:30,56.36,44.84,""
server_1,21:36:10,21:36:40,52.09,49.93,""
server_1,21:36:20,21:36:50,53.49,34.76,""
server_1,21:36:30,21:37:00,46.28,39.68,""
server_1,21:36:40,21:37:10,61.6,41.13,""
server_1,21:36:50,21:37:20,64.89,47.53,""
server_1,21:37:00,21:37:30,59.34,52.13,""
server_1,21:37:10,21:37:40,57.18,63.38,""
server_1,21:37:20,21:37:50,52.9,65.26,""
server_1,21:37:30,21:38:00,52.91,73.11,""
server_1,21:37:40,21:38:10,40.13,51.08,""
server_1,21:37:50,21:38:20,41.38,47.03,""
server_1,21:38:00,21:38:30,55.48,45.44,""
server_1,21:38:10,21:38:40,72.03,61.02,""
server_1,21:38:20,21:38:50,59.7,61.34,""
server_1,21:38:30,21:39:00,55.88,46.7,""
server_1,21:38:40,21:39:10,47.33,36.82,""
server_1,21:38:50,21:39:20,55.88,40.13,""
server_1,21:39:00,21:39:30,53.85,47.65,""
server_1,21:39:10,21:39:40,57.06,55.86,""
server_1,21:39:20,21:39:50,49.8,66.02,""
server_1,21:39:30,21:40:00,50.92,71.8,""
server_1,21:39:40,21:40:10,43.72,61.67,""
server_1,21:39:50,21:40:20,50.79,53.68,""
server_1,21:40:00,21:40:30,44.91,47.95,""
server_1,21:40:10,21:40:40,52.63,54.09,""
server_1,21:40:20,21:40:50,52.59,53.47,""
server_1,21:40:30,21:41:00,58.56,58.18,""
server_1,21:40:40,21:41:10,54.1,54.82,""
server_1,21:40:50,21:41:20,51.69,54.42,""
server_1,21:41:00,21:41:30,55.47,54.92,""
server_1,21:41:10,21:41:40,55.82,62.33,""
server_1,21:41:20,21:41:50,62.17,55.63,""
server_1,21:41:30,21:42:00,53.96,54.51,""
server_1,21:41:40,21:42:10,49.07,42.33,""
server_1,21:41:50,21:42:20,42.52,54.07,""
server_1,21:42:00,21:42:30,45.85,41.95,""
server_1,21:42:10,21:42:40,53.82,46.67,""
server_1,21:42:20,21:42:50,65.42,35.1,""
server_1,21:42:30,21:43:00,63.25,45.46,""
server_1,21:42:40,21:43:10,65.85,36.8,""
server_1,21:42:50,21:43:20,65.83,42.92,""
server_1,21:43:00,21:43:30,68.45,40.36,""
server_1,21:43:10,21:43:40,63.07,51.95,""
server_1,21:43:20,21:43:50,52.55,50.33,""
server_1,21:43:30,21:44:00,60.69,61.4,""
server_1,21:43:40,21:44:10,60.58,59.65,""
server_1,21:43:50,21:44:20,68.77,70.01,""
server_1,21:44:00,21:44:30,54.09,52.94,""
server_1,21:44:10,21:44:40,62.32,56.2,""
server_1,21:44:20,21:44:50,53.21,48.96,""
server_1,21:44:30,21:45:00,52.19,47.06,""
server_1,21:44:40,21:45:10,40.79,41.27,""
server_1,21:44:50,21:45:20,41.6,44.65,""
server_1,21:45:00,21:45:30,43.05,59.45,""
server_1,21:45:10,21:45:40,50.67,67.89,""
server_1,21:45:20,21:45:50,53.29,80.29,Memory saturation suspected
server_1,21:45:30,21:46:00,59.76,75.02,""
server_1,21:45:40,21:46:10,62.15,64.8,""
server_1,21:45:50,21:46:20,63.73,52.21,""
server_1,21:46:00,21:46:30,60.45,38.16,""
server_1,21:46:10,21:46:40,65.37,45.58,""
server_1,21:46:20,21:46:50,64.13,41.35,""
server_1,21:46:30,21:47:00,53.87,57.5,""
server_1,21:46:40,21:47:10,31.65,55.52,""
server_1,21:46:50,21:47:20,35.56,64.29,""
server_1,21:47:00,21:47:30,49.43,61.1,""
server_1,21:47:10,21:47:40,57.29,55.19,""
server_1,21:47:20,21:47:50,46.47,47.26,""
server_1,21:47:30,21:48:00,43.51,37.88,""
server_1,21:47:40,21:48:10,41.92,38.47,""
server_1,21:47:50,21:48:20,55.64,36.56,""
server_1,21:48:00,21:48:30,56.28,42.75,""
server_1,21:48:10,21:48:40,62.47,44.3,""
server_1,21:48:20,21:48:50,61.29,52.04,""
server_1,21:48:30,21:49:00,59.28,48.79,""
server_1,21:48:40,21:49:10,65.67,56.84,""
server_1,21:48:50,21:49:20,47.97,54.86,""
server_1,21:49:00,21:49:30,55.43,55.51,""
server_1,21:49:10,21:49:40,42.62,48.03,""
server_1,21:49:20,21:49:50,43.83,53.39,""
server_1,21:49:30,21:50:00,41.73,66.23,""
server_1,21:49:40,21:50:10,52.45,73.93,""
server_1,21:49:50,21:50:20,68.96,70.77,""
server_1,21:50:00,21:50:30,72.5,72.45,""
server_1,21:50:10,21:50:40,57.56,80.0,Memory saturation suspected
server_1,21:50:20,21:50:50,55.42,78.03,Memory saturation suspected
server_1,21:50:30,21:51:00,56.62,73.12,""
server_1,21:50:40,21:51:10,72.79,55.46,""
server_1,21:50:50,21:51:20,67.16,65.07,""
server_1,21:51:00,21:51:30,61.55,52.15,""
server_1,21:51:10,21:51:40,46.94,48.18,""
server_1,21:51:20,21:51:50,49.85,43.39,""
server_1,21:51:30,21:52:00,57.56,40.04,""
server_1,21:51:40,21:52:10,71.17,50.1,""
server_1,21:51:50,21:52:20,69.61,41.24,""
server_1,21:52:00,21:52:30,47.32,59.47,""
server_1,21:52:10,21:52:40,51.26,55.65,""
server_1,21:52:20,21:52:50,49.35,55.75,""
server_1,21:52:30,21:53:00,60.15,51.29,""
server_1,21:52:40,21:53:10,50.47,54.79,""
server_1,21:52:50,21:53:20,45.69,50.54,""
server_1,21:53:00,21:53:30,44.75,47.62,""
server_1,21:53:10,21:53:40,49.73,44.37,""
server_1,21:53:20,21:53:50,57.97,50.66,""
server_1,21:53:30,21:54:00,56.26,44.74,""
server_1,21:53:40,21:54:10,48.26,45.27,""
server_1,21:53:50,21:54:20,57.94,37.19,""
server_1,21:54:00,21:54:30,62.23,50.07,""
server_1,21:54:10,21:54:40,68.02,51.23,""
server_1,21:54:20,21:54:50,61.84,61.18,""
server_1,21:54:30,21:55:00,62.87,45.07,""
server_1,21:54:40,21:55:10,64.11,47.43,""
server_1,21:54:50,21:55:20,62.45,52.18,""
server_1,21:55:00,21:55:30,53.73,55.21,""
server_1,21:55:10,21:55:40,54.04,59.23,""
server_1,21:55:20,21:55:50,57.93,50.12,""
server_1,21:55:30,21:56:00,56.4,51.14,""
server_1,21:55:40,21:56:10,47.9,42.73,""
server_1,21:55:50,21:56:20,42.61,48.64,""
server_1,21:56:00,21:56:30,35.43,64.52,""
server_1,21:56:10,21:56:40,35.71,60.38,""
server_1,21:56:20,21:56:50,37.81,61.94,""
server_1,21:56:30,21:57:00,51.51,55.12,""
server_1,21:56:40,21:57:10,44.46,66.54,""
server_1,21:56:50,21:57:20,31.37,73.39,""
server_1,21:57:00,21:57:30,25.79,66.56,""
server_1,21:57:10,21:57:40,40.1,64.66,""
server_1,21:57:20,21:57:50,44.01,49.0,""
server_1,21:57:30,21:58:00,56.49,53.32,""
server_1,21:57:40,21:58:10,55.81,63.91,""
server_1,21:57:50,21:58:20,64.73,62.14,""
server_1,21:58:00,21:58:30,56.37,63.11,""
server_1,21:58:10,21:58:40,42.27,62.83,""
server_1,21:58:20,21:58:50,41.8,60.7,""
server_1,21:58:30,21:59:00,35.96,65.73,""
server_1,21:58:40,21:59:10,41.01,47.27,""
server_1,21:58:50,21:59:20,39.26,56.78,""
server_1,21:59:00,21:59:30,48.16,49.57,""
server_1,21:59:10,21:59:40,51.07,52.01,""
server_1,21:59:20,21:59:50,45.34,49.23,""
server_1,21:59:30,22:00:00,44.47,47.98,""
server_1,21:59:40,22:00:10,42.39,44.93,""
server_1,21:59:50,22:00:20,51.88,49.73,""
server_1,22:00:00,22:00:30,42.16,43.91,""
server_1,22:00:10,22:00:40,57.78,43.16,""
server_1,22:00:20,22:00:50,49.21,37.96,""
server_1,22:00:30,22:01:00,53.7,37.37,""
server_1,22:00:40,22:01:10,31.41,55.45,""
server_1,22:00:50,22:01:20,31.02,54.01,""
server_1,22:01:00,22:01:30,37.33,62.99,""
server_1,22:01:10,22:01:40,52.49,55.81,""
server_1,22:01:20,22:01:50,58.64,71.01,""
server_1,22:01:30,22:02:00,49.69,78.2,Memory saturation suspected
server_1,22:01:40,22:02:10,46.86,75.6,""
server_1,22:01:50,22:02:20,46.28,68.61,""
server_1,22:02:00,22:02:30,58.66,54.53,""
server_1,22:02:10,22:02:40,53.58,60.15,""
server_1,22:02:20,22:02:50,50.76,50.24,""
server_1,22:02:30,22:03:00,47.23,56.72,""
server_1,22:02:40,22:03:10,45.05,52.21,""
server_1,22:02:50,22:03:20,40.04,63.37,""
server_1,22:03:00,22:03:30,44.66,70.31,""
server_1,22:03:10,22:03:40,50.6,64.74,""
server_1,22:03:20,22:03:50,57.13,60.43,""
server_1,22:03:30,22:04:00,50.31,50.84,""
server_1,22:03:40,22:04:10,52.25,52.08,""
server_1,22:03:50,22:04:20,47.04,55.84,""
server_1,22:04:00,22:04:30,47.76,57.25,""
server_1,22:04:10,22:04:40,52.35,48.81,""
server_1,22:04:20,22:04:50,49.51,38.14,""
server_1,22:04:30,22:05:00,56.62,44.44,""
server_1,22:04:40,22:05:10,58.04,45.52,""
server_1,22:04:50,22:05:20,58.91,54.6,""
server_1,22:05:00,22:05:30,48.25,55.34,""
server_1,22:05:10,22:05:40,45.28,67.05,""
server_1,22:05:20,22:05:50,53.88,49.15,""
server_1,22:05:30,22:06:00,64.12,35.87,""
server_1,22:05:40,22:06:10,65.21,35.62,""
server_1,22:05:50,22:06:20,58.27,40.69,""
server_1,22:06:00,22:06:30,57.08,42.61,""
server_1,22:06:10,22:06:40,54.12,47.88,""
server_1,22:06:20,22:06:50,57.07,53.07,""
server_1,22:06:30,22:07:00,44.86,49.12,""
server_1,22:06:40,22:07:10,39.56,35.02,""
server_1,22:06:50,22:07:20,38.37,31.83,""
server_1,22:07:00,22:07:30,35.84,45.2,""
server_1,22:07:10,22:07:40,38.46,50.58,""
server_1,22:07:20,22:07:50,37.58,55.27,""
server_1,22:07:30,22:08:00,56.4,46.23,""
server_1,22:07:40,22:08:10,60.04,54.12,""
server_1,22:07:50,22:08:20,52.07,59.39,""
server_1,22:08:00,22:08:30,45.23,56.61,""
server_1,22:08:10,22:08:40,45.23,48.47,""
server_1,22:08:20,22:08:50,66.13,35.41,""
server_1,22:08:30,22:09:00,49.81,43.77,""
server_1,22:08:40,22:09:10,43.7,37.73,""
server_1,22:08:50,22:09:20,31.27,50.41,""
server_1,22:09:00,22:09:30,45.35,49.24,""
server_1,22:09:10,22:09:40,45.5,54.91,""
server_1,22:09:20,22:09:50,48.52,50.92,""
server_1,22:09:30,22:10:00,43.62,47.17,""
server_1,22:09:40,22:10:10,44.63,46.33,""
server_1,22:09:50,22:10:20,38.27,42.84,""
server_1,22:10:00,22:10:30,46.87,51.07,""
server_1,22:10:10,22:10:40,57.05,58.48,""
server_1,22:10:20,22:10:50,61.15,59.49,""
server_1,22:10:30,22:11:00,61.56,43.68,""
server_1,22:10:40,22:11:10,68.47,51.99,""
server_1,22:10:50,22:11:20,72.69,50.13,""
server_1,22:11:00,22:11:30,72.71,63.64,""
server_1,22:11:10,22:11:40,60.53,50.97,""
server_1,22:11:20,22:11:50,61.5,60.71,""
server_1,22:11:30,22:12:00,54.33,54.64,""
server_1,22:11:40,22:12:10,53.82,46.33,""
server_1,22:11:50,22:12:20,54.55,33.96,""
server_1,22:12:00,22:12:30,63.75,31.55,""
server_1,22:12:10,22:12:40,69.6,45.66,""
server_1,22:12:20,22:12:50,67.41,40.28,""
server_1,22:12:30,22:13:00,63.49,35.64,""
server_1,22:12:40,22:13:10,65.77,34.72,""
server_1,22:12:50,22:13:20,71.3,38.78,""
server_1,22:13:00,22:13:30,68.37,50.47,""
server_1,22:13:10,22:13:40,58.31,41.76,""
server_1,22:13:20,22:13:50,49.34,49.76,""
server_1,22:13:30,22:14:00,41.96,41.51,""
server_1,22:13:40,22:14:10,39.6,44.01,""
server_1,22:13:50,22:14:20,45.34,49.23,""
server_1,22:14:00,22:14:30,53.92,51.35,""
server_1,22:14:10,22:14:40,51.84,48.07,""
server_1,22:14:20,22:14:50,41.55,35.98,""
server_1,22:14:30,22:15:00,54.07,51.58,""
server_1,22:14:40,22:15:10,64.41,52.03,""
server_1,22:14:50,22:15:20,75.33,53.08,""
server_1,22:15:00,22:15:30,70.04,49.27,""
server_1,22:15:10,22:15:40,70.97,39.52,""
server_1,22:15:20,22:15:50,61.18,54.39,""
server_1,22:15:30,22:16:00,61.36,41.02,""
server_1,22:15:40,22:16:10,46.92,46.15,""
server_1,22:15:50,22:16:20,57.47,31.93,""
server_1,22:16:00,22:16:30,44.95,37.89,""
server_1,22:16:10,22:16:40,53.05,41.33,""
server_1,22:16:20,22:16:50,50.32,43.45,""
server_1,22:16:30,22:17:00,55.44,32.37,""
server_1,22:16:40,22:17:10,51.22,32.29,""
server_1,22:16:50,22:17:20,51.71,39.95,""
server_1,22:17:00,22:17:30,43.26,57.77,""
server_1,22:17:10,22:17:40,56.21,71.06,""
server_1,22:17:20,22:17:50,61.94,64.79,""
server_1,22:17:30,22:18:00,75.94,63.92,""
server_1,22:17:40,22:18:10,67.5,52.17,""
server_1,22:17:50,22:18:20,64.68,56.19,""
server_1,22:18:00,22:18:30,58.07,53.7,""
server_1,22:18:10,22:18:40,71.34,57.51,""
server_1,22:18:20,22:18:50,68.0,56.69,""
server_1,22:18:30,22:19:00,73.4,45.14,""
server_1,22:18:40,22:19:10,66.23,49.83,""
server_1,22:18:50,22:19:20,63.66,61.06,""
server_1,22:19:00,22:19:30,58.2,67.38,""
server_1,22:19:10,22:19:40,58.18,71.44,""
server_1,22:19:20,22:19:50,47.4,62.77,""
server_1,22:19:30,22:20:00,45.56,63.81,""
server_1,22:19:40,22:20:10,38.54,57.14,""
server_1,22:19:50,22:20:20,58.1,62.46,""
server_1,22:20:00,22:20:30,72.76,76.34,""
server_1,22:20:10,22:20:40,69.81,69.88,""
server_1,22:20:20,22:20:50,64.04,62.65,""
server_1,22:20:30,22:21:00,43.42,43.06,""
server_1,22:20:40,22:21:10,45.43,46.09,""
server_1,22:20:50,22:21:20,42.28,47.5,""
server_1,22:21:00,22:21:30,53.33,46.01,""
server_1,22:21:10,22:21:40,51.0,40.08,""
server_1,22:21:20,22:21:50,63.2,30.73,""
server_1,22:21:30,22:22:00,63.22,39.68,""
server_1,22:21:40,22:22:10,59.77,38.55,""
server_1,22:21:50,22:22:20,56.54,52.33,""
